,pdbid,smiles
0,3hg1,CC[C@@H]([C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)C(C)C)[C@H](O)C)CC(C)C)[C@H](CC)C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)[NH3+])CC(C)C)C)C
1,1u9l,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CC(C)C)CO)CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CC(=O)N)[NH3+])CCC[NH+]=C(N)N)C
2,6szj,COc1cccc(c1)c1nn(c(c1C(=O)N)N)C(C)(C)C
3,5jsj,O=C(c1ccc(c(c1)Nc1ccc(cc1)OC[NH+]1CCCC1)C(=O)N1CCC(CC1)CC[NH+]1CCCC1)N1CCC(CC1)CC[NH+]1CCCC1
4,5lpm,CCc1c([nH]c(c1C(=O)C)C)C(=O)N[C@@H]1[C@@H](O)CCc2c1cc(Cl)cc2
5,6f8j,CCNC(=O)Nc1ncc(c(c1)n1cccn1)C(=O)Nc1cccnc1
6,4p6g,CNC(=O)O[C@H]1COc2c([C@@H]1NC(=O)c1ccc(cc1)F)cc(cc2)N1CC[N@H+](CC1)C1COC1
7,4msa,O=N(=O)c1ccc2c(c1)[nH]cn2
8,5t8j,N#Cc1ccc(c(c1F)C)N1CC[C@]([C@@H]1C)(C)O
9,4h38,CCCCCCCCOc1cccc(c1)COc1ccc(cc1P(O)(O)O)Br
10,2y1x,O=C([C@@H]([NH3+])C)NCc1cccc(c1)n1nc(cc1c1nnc(o1)c1cccc2c1cc[nH]2)C(F)(F)F
11,3udv,O[C@@H]1[C@@H](CS[C@@H]2CC[N@@H+](CC2)CCNC(=O)C2=N[C@@H]3C(=O)NC(=[NH+]C3=NC2(C)C)N)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
12,3sio,CC[N@H+]1C[C@@]2(CC[C@@H]([C@]34[C@H]1[C@](O)([C@H]([C@H]23)OC)[C@@]1([C@@H]2[C@H]4C[C@@H]([C@@H]2OC)[C@H](C1)OC)O)OC)COC(=O)c1ccccc1N1C(=O)C[C@@H](C1=O)C
13,5j5d,OC(=O)CCCCCC(=O)O
14,5orr,Nc1snnc1c1ccc(cc1)C(F)(F)F
15,2kbs,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CC(C)C)CCC(=O)O)[C@H](O)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H]([C@H](O)C)[NH3+])CC(C)C)CCC(=O)O)C
16,1e3v,O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C[C@H](O)[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)O)C)C)C
17,1i9o,O=C(c1ccc(cc1)S(=O)(=O)N)NCc1ccc(c(c1F)F)F
18,4kod,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
19,1t13,OC[C@H]([C@H]([C@H](CNc1[nH]c(=O)[nH]c(=O)c1N(=O)=O)O)O)O
20,4u0b,CC(C[C@@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)C)CCC(=O)N)Cc1ccccc1)C)Cc1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]1CCC[NH2+]1)C
21,2r3h,Cc1cnc2n1ccnc2NCc1ccncc1
22,6b98,CNc1nc(Cl)nc2c1cnn2C
23,4wrq,OC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CC(C)C)CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CO)[NH3+])C)COP(O)(O)O)CC(C)C
24,3rl4,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1[nH]c(N)[nH+]c2=O)COP(O)(O)O
25,1jje,OC(=O)[C@H]([C@@H](C(=O)O)Cc1ccccc1)Cc1ccc2c(c1)OCO2
