,pdbid,smiles
0,2qju,C[NH2+]CCCN1c2ccccc2CCc2c1cccc2
1,1u9l,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CC(C)C)CO)CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CC(=O)N)[NH3+])CCC[NH+]=C(N)N)C
2,6gvx,C1CC[NH+](CC1)CCOc1ccc(cc1)c1cnc2n(c1)ncc2c1ccncc1
3,6szj,COc1cccc(c1)c1nn(c(c1C(=O)N)N)C(C)(C)C
4,5jsj,O=C(c1ccc(c(c1)Nc1ccc(cc1)OC[NH+]1CCCC1)C(=O)N1CCC(CC1)CC[NH+]1CCCC1)N1CCC(CC1)CC[NH+]1CCCC1
5,2pql,[NH3+]CCc1c[nH]c2c1cccc2
6,5lpm,CCc1c([nH]c(c1C(=O)C)C)C(=O)N[C@@H]1[C@@H](O)CCc2c1cc(Cl)cc2
7,6f8j,CCNC(=O)Nc1ncc(c(c1)n1cccn1)C(=O)Nc1cccnc1
8,4p6g,CNC(=O)O[C@H]1COc2c([C@@H]1NC(=O)c1ccc(cc1)F)cc(cc2)N1CC[N@H+](CC1)C1COC1
9,4msa,O=N(=O)c1ccc2c(c1)[nH]cn2
10,5t8j,N#Cc1ccc(c(c1F)C)N1CC[C@]([C@@H]1C)(C)O
11,4h38,CCCCCCCCOc1cccc(c1)COc1ccc(cc1P(O)(O)O)Br
12,2y1x,O=C([C@@H]([NH3+])C)NCc1cccc(c1)n1nc(cc1c1nnc(o1)c1cccc2c1cc[nH]2)C(F)(F)F
13,3udv,O[C@@H]1[C@@H](CS[C@@H]2CC[N@@H+](CC2)CCNC(=O)C2=N[C@@H]3C(=O)NC(=[NH+]C3=NC2(C)C)N)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
14,5orr,Nc1snnc1c1ccc(cc1)C(F)(F)F
15,2kbs,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CC(C)C)CCC(=O)O)[C@H](O)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H]([C@H](O)C)[NH3+])CC(C)C)CCC(=O)O)C
16,1e3v,O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C[C@H](O)[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)O)C)C)C
17,4kod,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
18,2r7g,CC(C[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CC(C)C)CC(=O)O)Cc1ccc(cc1)O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@H](O)C)NC(=O)[C@@H]1CCCN1C(=O)[C@H]1[NH2+]CCC1)CC(C)C)Cc1[nH]cnc1)CCC(=O)O)C
19,1t13,OC[C@H]([C@H]([C@H](CNc1[nH]c(=O)[nH]c(=O)c1N(=O)=O)O)O)O
20,6bic,OC[C@@H]1CCC(=O)NCCCn2nnc(C[C@@H](C(=O)N[C@H](C(=O)N1)CC(C)C)NC(=O)OCc1ccccc1)c2
21,6udy,Clc1ccc2c(c1)CCC[C@@]12COc2c(N(C1)CC1CCC1)cc(cc2)C(=O)O
22,4u0b,CC(C[C@@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)C)CCC(=O)N)Cc1ccccc1)C)Cc1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]1CCC[NH2+]1)C
23,2r3h,Cc1cnc2n1ccnc2NCc1ccncc1
24,6b98,CNc1nc(Cl)nc2c1cnn2C
25,3rl4,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1[nH]c(N)[nH+]c2=O)COP(O)(O)O
26,1tys,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)O)n1cc(C)c(=O)[nH]c1=O
27,1jje,OC(=O)[C@H]([C@@H](C(=O)O)Cc1ccccc1)Cc1ccc2c(c1)OCO2
